chr	START	END	Gen name	Score	strand	ATG	STOP
chrXII	805887	806825	YLR340W		+	805887	806825
chrV	138918	139763	YEL009C		-	139763	138918
chrXVI	303121	304014	YPL131W		+	303121	304014
chrXII	498947	499405	YLR167W		+	498947	499405
chrXI	259253	259531	YKL096W-A		+	259253	259531
chrXIII	220138	220728	YML028W		+	220138	220728
chrII	256331	256741	YBR010W		+	256331	256741
chrXII	368781	369311	YLR109W		+	368781	369311
chrVI	82580	83875	YFL026W		+	82580	83875
chrX	349044	349178	YJL047C-A		-	349178	349044
chrXVI	645950	646153	YPR036W-A		+	645950	646153
chrII	373861	375690	YBR068C		-	375690	373861
chrI	142174	143160	YAL003W		+	142174	143160
chrIV	1270068	1270733	YDR399W		+	1270068	1270733
chrXIII	652594	652887	YMR194C-B		-	652887	652594
chrXIV	302680	303402	YNL178W		+	302680	303402
chrXV	253149	253577	YOL040C		-	253577	253149
chrXI	334412	334915	YKL056C		-	334915	334412
chrXVI	173152	174702	YPL198W		+	173152	174702
chrII	236492	236887	YBL002W		+	236492	236887
chrXV	93395	94402	YOL120C		-	94402	93395
chrVI	223258	223437	YFR032C-A		-	223437	223258
chrVII	439091	439638	YGL030W		+	439091	439638
chrXII	201976	202590	YLR029C		-	202590	201976
chrXII	263194	263948	YLR061W		+	263194	263948
chrII	255373	255684	YBR009C		-	255684	255373
chrXV	619840	624375	YOR153W		+	619840	624375
chrIV	1236558	1238004	YDR381W		+	1236558	1238004
chrXIII	159383	159697	YML058W		+	159383	159697
chrVII	648383	648907	YGR085C		-	648907	648383
chrVIII	385510	386487	YHR143W		+	385510	386487
chrVII	277617	278381	YGL123W		+	277617	278381
chrXI	25215	26159	YKL216W		+	25215	26159
chrX	651901	652578	YJR123W		+	651901	652578
chrXI	141794	142819	YKL164C		-	142819	141794
chrV	85676	86149	YEL034W		+	85676	86149
chrII	556549	558198	YBR158W		+	556549	558198
chrXI	282891	284455	YKL081W		+	282891	284455
chrXIV	576727	577038	YNL030W		+	576727	577038
chrXV	81787	82920	YOL126C		-	82920	81787
chrIX	255115	255867	YIL053W		+	255115	255867
chrII	680362	680562	YBR230W-A		+	680362	680562
chrXIII	511315	511569	YMR122W-A		+	511315	511569
chrVII	227754	228329	YGL147C		-	228329	227754
chrVII	148229	148588	YGL189C		-	148588	148229
chrII	45978	46370	YBL092W		+	45978	46370
chrXII	856442	857317	YLR367W		+	856442	857317
chrXIV	24048	27173	YNL327W		+	24048	27173
chrXI	519527	520624	YKR042W		+	519527	520624
chrXII	951156	953183	YLR413W		+	951156	953183
chrXII	708168	708338	YLR285C-A		-	708338	708168
chrVI	64243	64932	YFL034C-A		-	64932	64243
chrII	604508	605508	YBR189W		+	604508	605508
chrXII	47859	48629	YLL045C		-	48629	47859
chrIV	508147	509109	YDR033W		+	508147	509109
chrX	75933	76474	YJL189W		+	75933	76474
chrXV	797676	798308	YOR247W		+	797676	798308
chrXII	781143	781379	YLR325C		-	781379	781143
chrX	74910	75302	YJL190C		-	75302	74910
chrVII	364335	365996	YGL076C		-	365996	364335
chrX	122265	122948	YJL158C		-	122948	122265
chrXVI	642208	643320	YPR035W		+	642208	643320
chrIV	600793	601809	YDR077W		+	600793	601809
chrXII	708448	710136	YLR286C		-	710136	708448
chrXII	1018141	1018908	YLR441C		-	1018908	1018141
chrXVI	731224	731748	YPR102C		-	731748	731224
chrXIII	162194	164176	YML056C		-	164176	162194
chrV	302806	303195	YER072W		+	302806	303195
chrVIII	75412	75777	YHL015W		+	75412	75777
chrV	423952	424311	YER131W		+	423952	424311
chrIII	177500	178220	YCR031C		-	178220	177500
chrVII	441281	442909	YGL028C		-	442909	441281
chrXV	678191	678793	YOR182C		-	678793	678191
chrXIII	887003	888682	YMR307W		+	887003	888682
chrV	122798	122929	YEL017C-A		-	122929	122798
chrIV	229906	230527	YDL130W		+	229906	230527
chrVI	220507	221418	YFR031C-A		-	221418	220507
chrX	702027	703068	YJR145C		-	703068	702027
chrXI	109269	110129	YKL180W		+	109269	110129
chrXV	80348	81190	YOL127W		+	80348	81190
chrVIII	504476	505530	YHR203C		-	505530	504476
chrV	52721	53218	YEL054C		-	53218	52721
chrV	322686	324095	YER081W		+	322686	324095
chrVIII	381990	382751	YHR141C		-	382751	381990
chrVII	787312	787779	YGR148C		-	787779	787312
chrVII	1000927	1002240	YGR254W		+	1000927	1002240
chrXII	522663	523288	YLR185W		+	522663	523288
chrXVI	654166	654847	YPR043W		+	654166	654847
chrII	88523	89125	YBL072C		-	89125	88523
chrVII	534132	534458	YGR027C		-	534458	534132
chrXII	410723	412414	YLR134W		+	410723	412414
chrVII	555812	556672	YGR034W		+	555812	556672
chrV	396769	397653	YER117W		+	396769	397653
chrIII	15798	16880	YCL064C		-	16880	15798
chrIV	1401770	1402564	YDR471W		+	1401770	1402564
chrVII	726974	727730	YGR118W		+	726974	727730
chrXIII	873291	874337	YMR303C		-	874337	873291
chrX	608305	608858	YJR094W-A		+	608305	608858
chrV	363100	363702	YER102W		+	363100	363702
chrIV	1239492	1239824	YDR382W		+	1239492	1239824
chrXIV	413639	416281	YNL112W		+	413639	416281
chrIV	340628	340798	YDL061C		-	340798	340628
chrXV	648804	649007	YOR167C		-	649007	648804
chrVIII	147871	148669	YHR021C		-	148669	147871
chrXI	431906	432720	YKL006W		+	431906	432720
chrVIII	126521	127492	YHR010W		+	126521	127492
chrV	304030	305592	YER073W		+	304030	305592
chrV	78053	79456	YEL040W		+	78053	79456
chrVIII	452872	453441	YHR175W		+	452872	453441
chrIV	322226	322988	YDL075W		+	322226	322988
chrIX	316768	317932	YIL018W		+	316768	317932
chrII	393123	394742	YBR078W		+	393123	394742
chrIV	309802	310122	YDL081C		-	310122	309802
chrIV	1354829	1355553	YDR447C		-	1355553	1354829
chrXII	242232	243349	YLR048W		+	242232	243349
chrVII	148824	148964	YGL188C-A		-	148964	148824
chrXV	780906	781541	YOR236W		+	780906	781541
chrIV	1301616	1302113	YDR418W		+	1301616	1302113
chrIV	491515	492324	YDR025W		+	491515	492324
chrXV	778555	779405	YOR234C		-	779405	778555
chrVII	806412	807656	YGR159C		-	807656	806412
chrXIII	146482	147249	YML063W		+	146482	147249
chrXII	728955	730301	YLR300W		+	728955	730301
chrXIV	493956	495001	YNL069C		-	495001	493956
chrIX	68708	69528	YIL148W		+	68708	69528
chrV	266512	268113	YER056C		-	268113	266512
chrXII	712537	713158	YLR287C-A		-	713158	712537
chrXV	254297	254617	YOL039W		+	254297	254617
chrII	168423	169376	YBL027W		+	168423	169376
chrXII	898651	898821	YLR388W		+	898651	898821
chrXVI	794965	795767	YPR132W		+	794965	795767
chrVII	23935	25395	YGL253W		+	23935	25395
chrXVI	75699	76239	YPL249C-A		-	76239	75699
chrXIII	753225	754220	YMR242C		-	754220	753225
chrXIV	65744	66052	YNL300W		+	65744	66052
chrIV	306926	307789	YDL083C		-	307789	306926
chrV	407342	409063	YER124C		-	409063	407342
chrXIV	721120	723112	YNR053C		-	723112	721120
chrXVI	282122	282970	YPL143W		+	282122	282970
chrXIV	63570	64562	YNL301C		-	64562	63570
chrVII	254641	255294	YGL135W		+	254641	255294
chrXII	931065	931755	YLR406C		-	931755	931065
chrV	298950	301616	YER070W		+	298950	301616
chrVIII	104277	105091	YHL001W		+	104277	105091
chrX	156550	157273	YJL136C		-	157273	156550
chrXV	505794	506767	YOR096W		+	505794	506767
chrXIII	222987	223828	YML026C		-	223828	222987
chrXI	617996	618750	YKR094C		-	618750	617996
chrXVI	377291	378395	YPL090C		-	378395	377291
chrII	414186	415261	YBR084C-A		-	415261	414186
chrV	306323	307196	YER074W		+	306323	307196
chrII	612236	613900	YBR196C		-	613900	612236
chrX	622550	623014	YJR104C		-	623014	622550
chrIX	98527	99416	YIL133C		-	99416	98527
chrXV	867098	867852	YOR293W		+	867098	867852
chrXIII	550206	551207	YMR142C		-	551207	550206
chrXV	159173	159445	YOL086W-A		+	159173	159445
chrX	90786	91657	YJL177W		+	90786	91657
chrVII	437467	437934	YGL031C		-	437934	437467
chrXV	900250	901194	YOR312C		-	901194	900250
chrVII	599417	601141	YGR055W		+	599417	601141
chrXIII	225889	226697	YML024W		+	225889	226697
chrII	606270	607140	YBR191W		+	606270	607140
chrXIII	123227	124172	YML073C		-	124172	123227
chrXIII	632355	634472	YMR186W		+	632355	634472
chrXVI	406636	407539	YPL079W		+	406636	407539
chrIX	256226	257063	YIL052C		-	257063	256226
chrXV	722911	724725	YOR204W		+	722911	724725
chrXI	158613	159212	YKL156W		+	158613	159212
chrII	300166	301254	YBR031W		+	300166	301254
chrXIV	87897	88736	YNL289W		+	87897	88736
chrXIV	61958	62943	YNL302C		-	62943	61958
chrXII	1028854	1029768	YLR448W		+	1028854	1029768
chrIX	231553	232369	YIL069C		-	232369	231553
chrXIV	282395	283009	YNL190W		+	282395	283009
chrXV	92026	92850	YOL121C		-	92850	92026
chrXII	819312	820142	YLR344W		+	819312	820142
chrIV	1450198	1450853	YDR500C		-	1450853	1450198
chrIV	117664	118517	YDL191W		+	117664	118517
chrXV	28703	31606	YOL155C		-	31606	28703
chrXIV	331322	332154	YNL162W		+	331322	332154
chrII	332831	333812	YBR048W		+	332831	333812
chrXV	867998	868147	YOR293C-A		-	868147	867998
chrII	591712	592774	YBR181C		-	592774	591712
chrXIII	551928	552903	YMR143W		+	551928	552903
chrVII	920575	921788	YGR214W		+	920575	921788
chrVI	223710	223973	YFR032C-B		-	223973	223710
chrV	269423	270185	YER056C-A		-	270185	269423
chrIV	1359923	1360798	YDR450W		+	1359923	1360798
chrIV	1466453	1468444	YDR508C		-	1468444	1466453
chrXII	440467	441288	YLR150W		+	440467	441288
chrXIII	651145	651910	YMR194W		+	651145	651910
chrXIV	501515	502777	YNL066W		+	501515	502777
chrXII	795573	795899	YLR333C		-	795899	795573
chrII	376574	378433	YBR069C		-	378433	376574
chrIV	768512	769000	YDR155C		-	769000	768512
chrIX	257843	258280	YIL051C		-	258280	257843
chrXVI	692796	694838	YPR074C		-	694838	692796
chrIII	148238	148903	YCR018C		-	148903	148238
chrXVI	481428	481901	YPL037C		-	481901	481428
chrXV	87844	89448	YOL123W		+	87844	89448
chrIV	1328783	1330027	YDR432W		+	1328783	1330027
chrXII	673131	673334	YLR264W		+	673131	673334
chrXIII	732414	733141	YMR230W		+	732414	733141
chrV	101943	102323	YEL026W		+	101943	102323
chrIX	23119	26106	YIL169C		-	26106	23119
chrXV	877230	877685	YOR298C-A		-	877685	877230
chrXI	551657	552242	YKR057W		+	551657	552242
chrXIV	443398	444315	YNL096C		-	444315	443398
chrXIV	505868	507097	YNL064C		-	507097	505868
chrII	59822	60739	YBL087C		-	60739	59822
chrVIII	362115	362765	YHR128W		+	362115	362765
chrXII	257992	259401	YLR058C		-	259401	257992
chrV	339864	342167	YER091C		-	342167	339864
chrXIII	388822	390732	YMR058W		+	388822	390732
chrX	519638	521602	YJR045C		-	521602	519638
chrIV	1385176	1385286	YDR461W		+	1385176	1385286
chrXVI	829918	830439	YPR149W		+	829918	830439
chrXI	259073	259222	YKL096C-B		-	259222	259073
chrV	282705	284222	YER064C		-	284222	282705
chrXVI	514511	517018	YPL019C		-	517018	514511
chrXII	281956	282456	YLR074C		-	282456	281956
chrXII	253861	254958	YLR056W		+	253861	254958
chrIV	308424	309388	YDL082W		+	308424	309388
chrIV	217600	218367	YDL136W		+	217600	218367
chrXII	673828	673944	YLR264C-A		-	673944	673828
chrXIV	187170	187496	YNL244C		-	187496	187170
chrVII	798543	800066	YGR155W		+	798543	800066
chrXVI	700594	701970	YPR080W		+	700594	701970
chrIV	1385524	1385766	YDR461C-A		-	1385766	1385524
chrXV	977194	978069	YOR344C		-	978069	977194
chrIV	929470	930357	YDR233C		-	930357	929470
chrXV	254926	255021	YOL038C-A		-	255021	254926
chrVII	640720	641832	YGR079W		+	640720	641832
chrVIII	115620	115901	YHR005C-A		-	115901	115620
chrXV	136220	136405	YOL097W-A		+	136220	136405
chrVI	53260	54696	YFL039C		-	54696	53260
chrVIII	120091	121683	YHR007C		-	121683	120091
chrVII	476313	478652	YGL009C		-	478652	476313
chrXII	815810	815983	YLR342W-A		+	815810	815983
chrVI	75179	76147	YFL031W		+	75179	76147
chrVII	1048798	1049958	YGR279C		-	1049958	1048798
chrXII	809997	815627	YLR342W		+	809997	815627
chrX	704196	705272	YJR147W		+	704196	705272
chrV	449474	449578	YER138W-A		+	449474	449578
chrVIII	517532	518713	YHR208W		+	517532	518713
chrVIII	374654	375100	YHR136C		-	375100	374654
chrXIV	172588	174315	YNL251C		-	174315	172588
chrVII	95858	97006	YGL209W		+	95858	97006
chrII	477671	479047	YBR118W		+	477671	479047
chrIV	427364	428347	YDL014W		+	427364	428347
chrIV	1162957	1164660	YDR345C		-	1164660	1162957
chrIV	1013476	1013643	YDR276C		-	1013643	1013476
chrXV	315813	316175	YOL005C		-	316175	315813
chrXIII	671887	674766	YMR205C		-	674766	671887
chrXII	919536	921596	YLR399C		-	921596	919536
chrX	466521	467033	YJR017C		-	467033	466521
chrVII	312193	312840	YGL101W		+	312193	312840
chrVII	959904	961103	YGR234W		+	959904	961103
chrXI	100671	106826	YKL182W		+	100671	106826
chrXIII	759807	761891	YMR246W		+	759807	761891
chrIX	321454	321933	YIL016W		+	321454	321933
chrV	460526	461740	YER145C		-	461740	460526
chrXIII	733268	733456	YMR230W-A		+	733268	733456
chrXI	217344	218318	YKL120W		+	217344	218318
chrXV	882765	882842	YOR302W		+	882765	882842
chrXI	309206	309442	YKL068W-A		+	309206	309442
chrX	464451	466208	YJR016C		-	466208	464451
chrV	100769	101251	YEL027W		+	100769	101251
chrXII	626502	626930	YLR245C		-	626930	626502
chrXVI	665693	665974	YPR052C		-	665974	665693
chrXV	904760	905800	YOR315W		+	904760	905800
chrIX	322342	324105	YIL015W		+	322342	324105
chrV	194273	194539	YER019C-A		-	194539	194273
chrVII	970771	973734	YGR240C		-	973734	970771
chrV	235770	237119	YER043C		-	237119	235770
chrV	141892	143892	YEL007W		+	141892	143892
chrIV	331024	332940	YDL070W		+	331024	332940
chrII	89458	89556	YBL071C-B		-	89556	89458
chrII	138341	140260	YBL042C		-	140260	138341
chrIV	1204497	1206383	YDR365C		-	1206383	1204497
chrVIII	423072	423461	YHR162W		+	423072	423461
chrVII	610564	611493	YGR060W		+	610564	611493
chrVIII	290913	292625	YHR094C		-	292625	290913
chrX	381327	383375	YJL034W		+	381327	383375
chrIV	216529	217074	YDL137W		+	216529	217074
chrXII	231702	232013	YLR043C		-	232013	231702
chrXVI	64977	66614	YPL256C		-	66614	64977
chrXVI	822620	824338	YPR145W		+	822620	824338
chrIV	116321	116866	YDL192W		+	116321	116866
chrV	545611	546414	YER177W		+	545611	546414
chrXIV	215987	217042	YNL231C		-	217042	215987
chrIII	57374	58678	YCL037C		-	58678	57374
chrXVI	297553	298050	YPL135W		+	297553	298050
chrII	290681	291865	YBR025C		-	291865	290681
chrIII	120946	122328	YCR005C		-	122328	120946
chrII	614024	614173	YBR196C-A		-	614173	614024
chrXVI	41043	42869	YPL265W		+	41043	42869
chrVII	876669	878192	YGR189C		-	878192	876669
chrXVI	280480	280926	YPL144W		+	280480	280926
chrVII	440063	440425	YGL029W		+	440063	440425
chrXII	515262	516410	YLR180W		+	515262	516410
chrII	452658	453224	YBR106W		+	452658	453224
chrXIII	509734	510348	YMR121C		-	510348	509734
chrI	130799	131983	YAL012W		+	130799	131983
chrXVI	108652	114315	YPL231W		+	108652	114315
chrXII	281019	281621	YLR073C		-	281621	281019
chrVIII	237004	237693	YHR071W		+	237004	237693
chrX	411234	413399	YJL012C		-	413399	411234
chrXV	305349	307409	YOL011W		+	305349	307409
chrX	123836	126328	YJL157C		-	126328	123836
chrXIII	754297	754386	YMR242W-A		+	754297	754386
chrXIII	434788	435915	YMR083W		+	434788	435915
chrXII	903724	904440	YLR390W-A		+	903724	904440
chrVI	43628	44392	YFL045C		-	44392	43628
chrXI	463959	464948	YKR013W		+	463959	464948
chrVIII	487712	488236	YHR193C		-	488236	487712
chrXIII	170402	171310	YML052W		+	170402	171310
chrII	563203	564570	YBR162C		-	564570	563203
chrXII	720771	721430	YLR293C		-	721430	720771
chrXI	94499	96265	YKL185W		+	94499	96265
chrXVI	241918	242700	YPL163C		-	242700	241918
chrVII	649598	650617	YGR086C		-	650617	649598
chrIII	229310	231004	YCR065W		+	229310	231004
chrII	372103	372735	YBR067C		-	372735	372103
chrXI	208247	210130	YKL125W		+	208247	210130
chrXIII	701790	703367	YMR217W		+	701790	703367
chrII	427698	429101	YBR092C		-	429101	427698
chrXIII	484084	486147	YMR108W		+	484084	486147
chrXII	1039270	1041366	YLR452C		-	1041366	1039270
chrXVI	213042	213962	YPL177C		-	213962	213042
chrVII	1057783	1058724	YGR282C		-	1058724	1057783
chrXIII	879063	880232	YMR305C		-	880232	879063
chrVII	784223	784858	YGR146C		-	784858	784223
chrII	237153	237467	YBL001C		-	237467	237153
chrVII	516943	520863	YGR014W		+	516943	520863
chrVIII	387233	387445	YHR143W-A		+	387233	387445
chrXIV	755746	759099	YNR067C		-	759099	755746
chrXVI	370978	372921	YPL093W		+	370978	372921
chrX	136372	136773	YJL151C		-	136773	136372
chrXV	760825	761265	YOR224C		-	761265	760825
chrXIV	167329	167790	YNL255C		-	167790	167329
chrXI	341312	342373	YKL051W		+	341312	342373
chrIV	1022007	1022321	YDR281C		-	1022321	1022007
chrX	524908	525381	YJR047C		-	525381	524908
chrIV	471853	472941	YDR012W		+	471853	472941
chrVII	398628	400160	YGL055W		+	398628	400160
chrIV	812110	812850	YDR174W		+	812110	812850
chrXV	1005137	1006705	YOR355W		+	1005137	1006705
chrXVI	135790	136443	YPL220W		+	135790	136443
chrXIV	252059	253900	YNL209W		+	252059	253900
chrVI	225020	225958	YFR034C		-	225958	225020
chrVII	800546	801823	YGR156W		+	800546	801823
chrIX	128151	129581	YIL123W		+	128151	129581
chrIV	525440	527215	YDR037W		+	525440	527215
chrXII	546097	547611	YLR197W		+	546097	547611
chrVII	703636	705051	YGR108W		+	703636	705051
chrXIII	272193	272663	YMR002W		+	272193	272663
chrV	223367	225199	YER036C		-	225199	223367
chrXII	1002557	1004128	YLR432W		+	1002557	1004128
chrV	510373	512106	YER165W		+	510373	512106
chrIII	23523	23981	YCL058C		-	23981	23523
chrXIII	662644	664284	YMR199W		+	662644	664284
chrX	150961	151626	YJL140W		+	150961	151626
chrV	264892	265785	YER055C		-	265785	264892
chrXIII	221406	222563	YML027W		+	221406	222563
chrXIV	618507	619565	YNL007C		-	619565	618507
chrX	647607	649142	YJR121W		+	647607	649142
chrXV	758330	759253	YOR222W		+	758330	759253
chrIV	916486	917154	YDR226W		+	916486	917154
chrIV	548762	550576	YDR046C		-	550576	548762
chrXII	625168	626331	YLR244C		-	626331	625168
chrX	165723	172367	YJL130C		-	172367	165723
chrXII	568567	570627	YLR214W		+	568567	570627
chrXII	95566	97485	YLL024C		-	97485	95566
chrV	301947	302327	YER071C		-	302327	301947
chrXII	264157	265254	YLR063W		+	264157	265254
chrXIII	251839	252990	YML008C		-	252990	251839
chrXV	896825	898360	YOR310C		-	898360	896825
chrX	705744	706874	YJR148W		+	705744	706874
chrVII	912913	913227	YGR209C		-	913227	912913
chrXII	506134	507585	YLR175W		+	506134	507585
chrVIII	470960	472429	YHR183W		+	470960	472429
chrIX	97395	98330	YIL134W		+	97395	98330
chrXV	678872	679261	YOR183W		+	678872	679261
chrII	429548	430951	YBR093C		-	430951	429548
chrVII	87981	89339	YGL215W		+	87981	89339
chrXIV	108467	108928	YNL281W		+	108467	108928
chrII	163041	163997	YBL030C		-	163997	163041
chrIV	87512	87982	YDL208W		+	87512	87982
chrXII	286820	287674	YLR079W		+	286820	287674
chrXV	303579	303983	YOL012C		-	303983	303579
chrVIII	372694	374310	YHR135C		-	374310	372694
chrIV	1079048	1080199	YDR309C		-	1080199	1079048
chrXVI	810984	812453	YPR138C		-	812453	810984
chrVIII	187173	187679	YHR039C-A		-	187679	187173
chrVII	559731	559994	YGR037C		-	559994	559731
chrVII	617516	617824	YGR063C		-	617824	617516
chrII	143989	145728	YBL039C		-	145728	143989
chrVIII	241664	241840	YHR072W-A		+	241664	241840
chrXV	761614	762084	YOR226C		-	762084	761614
chrXV	60383	61024	YOL139C		-	61024	60383
chrXII	963785	964879	YLR420W		+	963785	964879
chrVII	616328	617278	YGR062C		-	617278	616328
chrVIII	491931	493658	YHR196W		+	491931	493658
chrXV	960987	965981	YOR341W		+	960987	965981
chrXVI	100496	101353	YPL237W		+	100496	101353
chrXV	1015361	1017652	YOR361C		-	1017652	1015361
chrX	569621	570598	YJR070C		-	570598	569621
chrXI	336537	338753	YKL054C		-	338753	336537
chrIV	1494586	1495857	YDR528W		+	1494586	1495857
chrXIII	623616	624080	YMR181C		-	624080	623616
chrXII	259738	260547	YLR059C		-	260547	259738
chrXII	721999	722373	YLR295C		-	722373	721999
chrVII	824059	826917	YGR162W		+	824059	826917
chrXV	882899	884134	YOR303W		+	882899	884134
chrIII	48653	50221	YCL043C		-	50221	48653
chrIV	205360	210561	YDL140C		-	210561	205360
chrVIII	282681	283298	YHR089C		-	283298	282681
chrVII	278946	280523	YGL122C		-	280523	278946
chrII	81043	84261	YBL076C		-	84261	81043
chrV	483325	484341	YER156C		-	484341	483325
chrXVI	74309	74719	YPL250C		-	74719	74309
chrI	65778	67520	YAL040C		-	67520	65778
chrXIII	288079	289704	YMR011W		+	288079	289704
chrVII	56482	58890	YGL234W		+	56482	58890
chrVII	1061852	1063153	YGR285C		-	1063153	1061852
chrX	338271	339269	YJL052W		+	338271	339269
chrII	426190	426489	YBR089C-A		-	426489	426190
chrVII	557072	557422	YGR035C		-	557422	557072
chrXV	1011189	1012760	YOR359W		+	1011189	1012760
chrII	614526	614630	YBR196C-B		-	614630	614526
chrXV	818866	820158	YOR264W		+	818866	820158
chrXVI	96496	98625	YPL240C		-	98625	96496
chrXVI	577585	581196	YPR010C		-	581196	577585
chrIV	1344517	1345062	YDR441C		-	1345062	1344517
chrVII	362225	363916	YGL077C		-	363916	362225
chrIV	769525	769938	YDR156W		+	769525	769938
chrIV	1361120	1362181	YDR451C		-	1362181	1361120
chrVIII	462502	463704	YHR179W		+	462502	463704
chrX	294047	294145	YJL077W-B		+	294047	294145
chrXIV	654673	661374	YNR016C		-	661374	654673
chrXII	867354	868391	YLR372W		+	867354	868391
chrXIII	411569	412120	YMR072W		+	411569	412120
chrXI	42423	46295	YKL209C		-	46295	42423
chrXIV	234413	235714	YNL220W		+	234413	235714
chrX	451020	451934	YJR007W		+	451020	451934
chrIII	102075	103358	YCL011C		-	103358	102075
chrXII	658826	659791	YLR257W		+	658826	659791
chrXII	646415	650923	YLR256W		+	646415	650923
chrXIII	409154	410626	YMR070W		+	409154	410626
chrIV	371240	371761	YDL046W		+	371240	371761
chrV	16355	17845	YEL071W		+	16355	17845
chrXII	663284	665002	YLR259C		-	665002	663284
chrIX	136654	137877	YIL119C		-	137877	136654
chrXII	265456	266277	YLR064W		+	265456	266277
chrXVI	900194	900454	YPR182W		+	900194	900454
chrIV	1418550	1420250	YDR481C		-	1420250	1418550
chrXIII	892988	895426	YMR309C		-	895426	892988
chrXV	479533	480420	YOR083W		+	479533	480420
chrXI	382716	384725	YKL029C		-	384725	382716
chrIV	808324	810381	YDR172W		+	808324	810381
chrVII	76894	77907	YGL225W		+	76894	77907
chrVII	802440	805049	YGR157W		+	802440	805049
chrXVI	868645	869955	YPR163C		-	869955	868645
chrXII	540809	541573	YLR194C		-	541573	540809
chrXII	735212	737548	YLR304C		-	737548	735212
chrIV	1241204	1242031	YDR384C		-	1242031	1241204
chrXV	370524	370844	YOR020C		-	370844	370524
chrXVI	592332	593069	YPR016C		-	593069	592332
chrXIV	371882	372226	YNL135C		-	372226	371882
chrIV	489508	490896	YDR023W		+	489508	490896
chrXV	217126	218448	YOL059W		+	217126	218448
chrXI	107316	108599	YKL181W		+	107316	108599
chrVII	187464	187796	YGL168W		+	187464	187796
chrIII	23584	23925	YCL058W-A		+	23584	23925
chrIV	363952	364779	YDL051W		+	363952	364779
chrXI	356748	357848	YKL043W		+	356748	357848
chrXIV	517994	518845	YNL055C		-	518845	517994
chrVI	224326	224769	YFR033C		-	224769	224326
chrII	530869	532182	YBR143C		-	532182	530869
chrXVI	121767	125357	YPL226W		+	121767	125357
chrXVI	875368	875997	YPR165W		+	875368	875997
chrIV	1324477	1325301	YDR429C		-	1325301	1324477
chrXIV	707788	708195	YNR046W		+	707788	708195
chrXV	605347	606171	YOR145C		-	606171	605347
chrVII	635712	636152	YGR074W		+	635712	636152
chrXII	669468	669662	YLR262C-A		-	669662	669468
chrXV	841333	841818	YOR276W		+	841333	841818
chrXIV	289498	291876	YNL186W		+	289498	291876
chrX	291336	293981	YJL078C		-	293981	291336
chrXII	166537	167136	YLR009W		+	166537	167136
chrV	205251	206834	YER025W		+	205251	206834
chrII	409169	410629	YBR083W		+	409169	410629
chrIV	589761	591344	YDR072C		-	591344	589761
chrXI	615730	617535	YKR093W		+	615730	617535
chrII	479338	480323	YBR119W		+	479338	480323
chrXII	523632	524390	YLR186W		+	523632	524390
chrXVI	679693	680799	YPR065W		+	679693	680799
chrXVI	752257	752919	YPR113W		+	752257	752919
chrXII	836350	837357	YLR354C		-	837357	836350
chrXIII	698811	701039	YMR216C		-	701039	698811
chrVIII	210848	211978	YHR052W		+	210848	211978
chrI	76427	79435	YAL035W		+	76427	79435
